Site,HPI_As,HPI_Cd,HPI_Co,HPI_Cr,HPI_Cu,HPI_Fe,HPI_Hg,HPI_Mn,HPI_Ni,HPI_Pb,HPI_Zn
TGW1,0.005660377358490566,0.10461255121989183,0.07646923475201042,0.008168058974508454,0.00038867924528301884,0.0010691823899371068,0.13090542140722064,0.0007146226415094339,0.0018638700723939622,0.005754716981132075,0.00018616352201257863
TGW2,0.007830188679245283,0.03736162543567566,0.07646923475201042,0.006060172787538531,0.0002820754716981132,0.002176100628930818,0.06545271070361032,0.0010400943396226415,0.0034334448701994046,0.00660377358490566,0.0003147798742138364
TGW3,0.0036792452830188677,0.22416975261405395,0.07646923475201042,0.004742743920682329,0.00032641509433962263,0.0007044025157232703,0.06908897240936644,0.0005188679245283019,0.0027467558961595234,0.004528301886792452,0.0002276729559748428
TGW4,0.004811320754716981,0.03736162543567566,0.07646923475201042,0.003952286600568607,0.00034245283018867923,0.0006666666666666666,0.003636261705756129,0.0005283018867924527,0.004904921243142006,0.005,0.00030566037735849056
TGW5,0.0004716981132075472,0.4632841554023782,0.07646923475201042,0.02397720537678288,0.0002556603773584906,0.001,0.1018153277611716,0.0012476415094339623,0.0022562637718453226,0.00660377358490566,0.00025974842767295594
TGW6,0.0047169811320754715,0.03736162543567566,0.07646923475201042,0.008431544747879695,0.00046084905660377363,0.0013301886792452828,0.13090542140722064,0.000955188679245283,0.0011771810983540816,0.00641509433962264,0.00019276729559748425
TGW7,0.0030188679245283017,0.343726954008216,0.07646923475201042,0.007641087427765973,0.0003311320754716981,0.0015943396226415095,0.11636037458419612,0.000570754716981132,0.003335346445336564,0.004150943396226415,0.00020377358490566034
TGW8,0.0023584905660377358,0.03736162543567566,0.07646923475201042,0.004742743920682329,0.0002943396226415094,0.0010849056603773584,0.10908785117268387,0.0013231132075471699,0.004512527543690645,0.006792452830188679,0.00022075471698113208
TGW9,0.0030188679245283017,0.13450185156843236,0.07646923475201042,0.0031618292804548856,0.0003165094339622641,0.001540880503144654,0.0509076638805858,0.0005070754716981131,0.0021581653469824828,0.005,0.00028238993710691824
TGW10,0.008679245283018867,0.17933580209124314,0.07646923475201042,0.005796687014167291,0.00038396226415094337,0.0021572327044025157,0.08727028093814708,0.0010023584905660377,0.001569574797805442,0.007075471698113208,0.00015911949685534592
TGW11,0.0042452830188679245,0.31383765365967553,0.07646923475201042,0.004215772373939847,0.000435377358490566,0.0020188679245283017,0.09817906605541549,0.000625,0.0011771810983540816,0.004905660377358491,0.000210062893081761
TGW12,0.007169811320754717,0.03736162543567566,0.07646923475201042,0.021342347643070476,0.00034292452830188676,0.0007044025157232703,0.003636261705756129,0.0007405660377358491,0.0013733779480797617,0.006886792452830188,0.0002770440251572327
TGW13,0.004905660377358491,0.13450185156843236,0.07646923475201042,0.003952286600568607,0.0002891509433962264,0.0022893081761006288,0.14181420652448903,0.0012452830188679246,0.002452460621571003,0.0047169811320754715,0.0001962264150943396
TGW14,0.004150943396226415,0.3586716041824863,0.07646923475201042,0.0068506301076522525,0.0002471698113207547,0.000669811320754717,0.07999775752663484,0.0008018867924528302,0.005101118092867687,0.007169811320754717,0.0003638364779874214
TGW15,0.008773584905660377,0.47822880557664843,0.07646923475201042,0.0034253150538261262,0.0002759433962264151,0.001968553459119497,0.12726915970146452,0.0008207547169811319,0.003335346445336564,0.0038679245283018866,0.00026761006289308174
TGW16,0.0019811320754716984,0.17933580209124314,0.07646923475201042,0.006060172787538531,0.0004471698113207547,0.001531446540880503,0.15999551505326967,0.0009882075471698113,0.0021581653469824828,0.007075471698113208,0.0003783018867924528
TGW17,0.005471698113207546,0.07472325087135132,0.07646923475201042,0.010275945161478377,0.00043820754716981133,0.0011069182389937108,0.04363514046907354,0.0011580188679245283,0.0036296417199250847,0.007735849056603773,0.00031289308176100624
TGW18,0.004905660377358491,0.03736162543567566,0.07646923475201042,0.008168058974508454,0.0004481132075471698,0.001968553459119497,0.10908785117268387,0.0006226415094339623,0.0026486574712966835,0.007264150943396226,0.00027672955974842765
TGW19,0.007924528301886793,0.5081181059251889,0.07646923475201042,0.025294634243639084,0.00034056603773584905,0.0015786163522012579,0.03636261705756129,0.0008018867924528302,0.005297314942593367,0.006320754716981132,0.00030251572327044023
TGW20,0.0030188679245283017,0.4184502048795673,0.07646923475201042,0.003952286600568607,0.00025754716981132077,0.0015691823899371068,0.07999775752663484,0.001221698113207547,0.004414429118827805,0.006792452830188679,0.00025157232704402514
TGW21,0.006226415094339622,0.03736162543567566,0.07646923475201042,0.006587144334281012,0.00024575471698113206,0.0007264150943396226,0.0509076638805858,0.0005400943396226414,0.0011771810983540816,0.004622641509433962,0.00020754716981132072
TGW22,0.00660377358490566,0.14944650174270263,0.07646923475201042,0.0034253150538261262,0.00040801886792452826,0.0016540880503144654,0.1018153277611716,0.0003820754716981132,0.0038258385696507647,0.005660377358490566,0.0002172955974842767
TGW23,0.00330188679245283,0.4333948550538376,0.07646923475201042,0.007904573201137214,0.0004528301886792453,0.00130188679245283,0.14908672993600125,0.0006415094339622642,0.002452460621571003,0.0060377358490566035,0.0002638364779874214
TGW24,0.006226415094339622,0.03736162543567566,0.07646923475201042,0.005269715467424809,0.0003688679245283019,0.0010345911949685533,0.11999663628995223,0.0008207547169811319,0.002942952745885204,0.004905660377358491,0.00017547169811320753
TGW25,0.004811320754716981,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00028066037735849055,0.002150943396226415,0.04363514046907354,0.0007712264150943396,0.0047087243934163265,0.00811320754716981,0.00024528301886792453
TGW26,0.0012264150943396227,0.4184502048795673,0.07646923475201042,0.006323658560909771,0.0003212264150943396,0.0024339622641509433,0.16726803846478192,0.0013349056603773586,0.0038258385696507647,0.004528301886792452,0.00018930817610062894
TGW27,0.009245283018867925,0.5380074062737294,0.07646923475201042,0.019497947229471797,0.00025754716981132077,0.0006886792452830188,0.003636261705756129,0.0008419811320754718,0.005297314942593367,0.0074528301886792455,0.00029622641509433967
TGW28,0.0017924528301886792,0.5380074062737294,0.07646923475201042,0.004215772373939847,0.00043820754716981133,0.0022138364779874216,0.09817906605541549,0.001035377358490566,0.0051992165177305255,0.005849056603773585,0.000210062893081761
TGW29,0.003962264150943397,0.17933580209124314,0.07646923475201042,0.009222002067993416,0.00039716981132075467,0.001761006289308176,0.003636261705756129,0.0007169811320754717,0.0010790826734912414,0.00660377358490566,0.00024150943396226412
TGW30,0.0074528301886792455,0.20922510243978365,0.07646923475201042,0.0031618292804548856,0.00032971698113207546,0.001327044025157233,0.07999775752663484,0.0006745283018867925,0.0020600669221196425,0.007735849056603773,0.00024654088050314463
TGW31,0.0025471698113207547,0.13450185156843236,0.07646923475201042,0.007904573201137214,0.0002915094339622641,0.0011477987421383649,0.11636037458419612,0.0007264150943396226,0.002942952745885204,0.00660377358490566,0.00019654088050314464
TGW32,0.0004716981132075472,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00034056603773584905,0.0007547169811320754,0.07999775752663484,0.0012452830188679246,0.0036296417199250847,0.004339622641509434,0.00041635220125786165
TGW33,0.0017924528301886792,0.3736162543567566,0.07646923475201042,0.008958516294622177,0.0003033018867924528,0.0009716981132075471,0.12363289799570838,0.0013938679245283018,0.005689708642044726,0.004905660377358491,0.00022830188679245282
TGW34,0.002264150943396226,0.56789670662227,0.07646923475201042,0.006323658560909771,0.00027264150943396225,0.0008333333333333333,0.14181420652448903,0.0009669811320754717,0.0022562637718453226,0.006226415094339622,0.0003044025157232704
TGW35,0.007547169811320755,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00037830188679245283,0.002081761006289308,0.03999887876331742,0.0009316037735849057,0.005101118092867687,0.004056603773584905,0.00028238993710691824
TGW36,0.008867924528301888,0.1643911519169729,0.07646923475201042,0.0013174288668562023,0.0003311320754716981,0.0015377358490566038,0.04363514046907354,0.0007240566037735849,0.0019619684972568023,0.006981132075471698,0.0002012578616352201
TGW37,0.004905660377358491,0.10461255121989183,0.07646923475201042,0.007904573201137214,0.00032877358490566034,0.0013333333333333333,0.14181420652448903,0.0006816037735849056,0.004806822818279166,0.006792452830188679,0.00029056603773584903
TGW38,0.005849056603773585,0.31383765365967553,0.07646923475201042,0.02555812001701032,0.0003764150943396226,0.0010094339622641509,0.08363401923239096,0.00105188679245283,0.0011771810983540816,0.008207547169811319,0.0002261006289308176
TGW39,0.007924528301886793,0.31383765365967553,0.07646923475201042,0.004215772373939847,0.000435377358490566,0.0024088050314465407,0.03999887876331742,0.0012358490566037736,0.004512527543690645,0.007641509433962263,0.00016509433962264152
TGW40,0.00660377358490566,0.03736162543567566,0.07646923475201042,0.006323658560909771,0.0002466981132075472,0.0022767295597484276,0.09090654264390323,0.000525943396226415,0.0034334448701994046,0.004905660377358491,0.00035660377358490565
TGW41,0.002264150943396226,0.4184502048795673,0.07646923475201042,0.004742743920682329,0.00026981132075471696,0.001632075471698113,0.03636261705756129,0.0004292452830188679,0.0020600669221196425,0.005754716981132075,0.00028301886792452826
TGW42,0.006320754716981132,0.03736162543567566,0.07646923475201042,0.005006229694053569,0.00029386792452830185,0.001650943396226415,0.003636261705756129,0.000811320754716981,0.0013733779480797617,0.0051886792452830195,0.00031446540880503143
TGW43,0.004622641509433962,0.17933580209124314,0.07646923475201042,0.010012459388107138,0.00037122641509433965,0.0013836477987421384,0.12363289799570838,0.0008867924528301887,0.0037277401447879245,0.0038679245283018866,0.0001962264150943396
TGW44,0.006792452830188679,0.20922510243978365,0.07646923475201042,0.006587144334281012,0.00028679245283018867,0.0007830188679245282,0.09454280434965935,0.0011037735849056603,0.0012752795232169217,0.005,0.00025754716981132077
TGW45,0.005094339622641509,0.3736162543567566,0.07646923475201042,0.018180518362615593,0.00029386792452830185,0.0011289308176100628,0.13817794481873288,0.0013089622641509434,0.0026486574712966835,0.006226415094339622,0.00019654088050314464
TGW46,0.005849056603773585,0.08966790104562157,0.07646923475201042,0.004215772373939847,0.0003872641509433962,0.0020283018867924526,0.003636261705756129,0.00047405660377358494,0.0022562637718453226,0.007924528301886793,0.00029622641509433967
TGW47,0.0004716981132075472,0.03736162543567566,0.07646923475201042,0.0031618292804548856,0.00041415094339622644,0.0010251572327044025,0.06908897240936644,0.000759433962264151,0.004610625968553486,0.007924528301886793,0.000220125786163522
TGW48,0.0023584905660377358,0.03736162543567566,0.07646923475201042,0.006323658560909771,0.0002886792452830189,0.0016477987421383647,0.1018153277611716,0.0010212264150943396,0.0018638700723939622,0.0037735849056603774,0.00029056603773584903
TGW49,0.0010377358490566038,0.283948353311135,0.07646923475201042,0.0013174288668562023,0.00036603773584905654,0.0013113207547169811,0.0509076638805858,0.0006933962264150942,0.004120133844239285,0.00811320754716981,0.00020786163522012576
TGW50,0.002264150943396226,0.10461255121989183,0.07646923475201042,0.003688800827197366,0.0004330188679245283,0.0012830188679245282,0.11636037458419612,0.000990566037735849,0.001569574797805442,0.004905660377358491,0.0002339622641509434
TGW51,0.0036792452830188677,0.2690037031368647,0.07646923475201042,0.006587144334281012,0.0003518867924528302,0.0009559748427672956,0.08727028093814708,0.0009481132075471699,0.0023543621967081632,0.005377358490566038,0.000380188679245283
TGW52,0.0004716981132075472,0.03736162543567566,0.07646923475201042,0.0013174288668562023,0.000325,0.0023176100628930817,0.11272411287844,0.0009150943396226414,0.0025505590464338433,0.0074528301886792455,0.000260062893081761
THDW1,0.0033962264150943396,0.08966790104562157,0.07646923475201042,0.0028983435070836453,0.00021745283018867925,0.0016729559748427673,0.07636149582087871,0.0011179245283018868,0.005984003916633247,0.004433962264150944,0.0002276729559748428
THDW2,0.001132075471698113,0.19428045226551344,0.07646923475201042,0.010275945161478377,0.0002481132075471698,0.0010094339622641509,0.1018153277611716,0.0007665094339622642,0.0025505590464338433,0.003962264150943397,0.00028679245283018867
THDW3,0.003962264150943397,0.03736162543567566,0.07646923475201042,0.005796687014167291,0.00025660377358490566,0.0017893081761006287,0.08363401923239096,0.0010660377358490565,0.005297314942593367,0.005,0.00028490566037735844
THDW4a,0.005094339622641509,0.03736162543567566,0.07646923475201042,0.003952286600568607,0.0002320754716981132,0.0015220125786163522,0.15272299164175743,0.0009646226415094338,0.0043163306939649655,0.004528301886792452,0.0002792452830188679
THDW4b,0.005471698113207546,0.13450185156843236,0.07646923475201042,0.003688800827197366,0.0002471698113207547,0.0012955974842767295,0.13454168311297676,0.0009221698113207547,0.0038258385696507647,0.004528301886792452,0.00023773584905660374
THDW5,0.008396226415094339,0.03736162543567566,0.07646923475201042,0.0110664024815921,0.00035235849056603776,0.0021069182389937104,0.13090542140722064,0.0007405660377358491,0.0035315432950622444,0.005094339622641509,0.0002827044025157233
THDW6,0.005849056603773585,0.31383765365967553,0.07646923475201042,0.005269715467424809,0.0003896226415094339,0.0010220125786163522,0.17090430017053806,0.00031132075471698115,0.005297314942593367,0.005754716981132075,0.00029496855345911946
THDW7,0.007641509433962263,0.20922510243978365,0.07646923475201042,0.005269715467424809,0.0003320754716981132,0.0012955974842767295,0.13454168311297676,0.0007169811320754717,0.0023543621967081632,0.0051886792452830195,0.00028018867924528297
THDW8,0.002641509433962264,0.03736162543567566,0.07646923475201042,0.008958516294622177,0.0004056603773584905,0.0019088050314465409,0.15272299164175743,0.0005943396226415095,0.003335346445336564,0.004905660377358491,0.00023647798742138364
THDW9,0.005660377358490566,0.11955720139416211,0.07646923475201042,0.012647317121819542,0.0003212264150943396,0.0016540880503144654,0.15999551505326967,0.0004339622641509434,0.006572594465810288,0.006509433962264151,0.00030628930817610064
THDW10,0.009056603773584904,0.03736162543567566,0.07646923475201042,0.008168058974508454,0.00019433962264150942,0.001018867924528302,0.12363289799570838,0.001,0.004904921243142006,0.005849056603773585,0.000260377358490566
THDW11,0.004150943396226415,0.17933580209124314,0.07646923475201042,0.011329888254963338,0.00020094339622641507,0.002144654088050314,0.07999775752663484,0.0005683962264150943,0.004120133844239285,0.0051886792452830195,0.0002242138364779874
TSW1,0.0025471698113207547,0.03736162543567566,0.07646923475201042,0.008168058974508454,0.0001518867924528302,0.001028301886792453,0.003636261705756129,0.0008278301886792453,0.0011771810983540816,0.006509433962264151,0.00017169811320754717
TSW2,0.0030188679245283017,0.03736162543567566,0.07646923475201042,0.015545660628903188,0.00026132075471698113,0.0012641509433962265,0.04363514046907354,0.0006438679245283019,0.0023543621967081632,0.005849056603773585,0.0002393081761006289
TSW3,0.0035849056603773585,0.03736162543567566,0.07646923475201042,0.007641087427765973,0.0002160377358490566,0.001072327044025157,0.003636261705756129,0.0005400943396226414,0.002844854321022363,0.0036792452830188677,0.00021509433962264152
TSW4,0.00320754716981132,0.03736162543567566,0.07646923475201042,0.013701260215304505,0.0002481132075471698,0.0012327044025157233,0.13454168311297676,0.000955188679245283,0.004120133844239285,0.005094339622641509,0.00018616352201257863
TSW5,0.002735849056603773,0.03736162543567566,0.07646923475201042,0.010539430934849619,0.00028301886792452826,0.0017421383647798741,0.003636261705756129,0.0008962264150943396,0.0027467558961595234,0.003962264150943397,0.0002330188679245283
TSW6,0.004056603773584905,0.03736162543567566,0.07646923475201042,0.011593374028334581,0.0002471698113207547,0.0013207547169811322,0.09090654264390323,0.001,0.0020600669221196425,0.0051886792452830195,0.00020188679245283021
