organ,site,group,median,p3,p97
neuro,0,Adults,0.000284214,0.000145961,0.000437429
neuro,0,Children,0.000273159,0.000140283,0.000420415
neuro,0,Teens,0.00023349,0.000119911,0.00035936
neuro,0,Pregnant,0.000157219,8.07414e-05,0.000241974
neuro,1,Adults,0.00102802,0.000527949,0.00158221
neuro,1,Children,0.000898705,0.000461538,0.00138318
neuro,1,Teens,0.00126738,0.000650875,0.00195061
neuro,1,Pregnant,0.00101201,0.000519726,0.00155757
neuro,2,Adults,0.000280633,0.000144121,0.000431917
neuro,2,Children,0.000380158,0.000195234,0.000585095
neuro,2,Teens,0.000342466,0.000175876,0.000527083
neuro,2,Pregnant,0.000375521,0.000192852,0.000577958
neuro,3,Adults,0.000330796,0.000169883,0.000509122
neuro,3,Children,0.000308881,0.000158628,0.000475393
neuro,3,Teens,0.000290071,0.000148968,0.000446443
neuro,3,Pregnant,0.000258625,0.000132819,0.000398046
nephro,0,Adults,0.00132328,2.25735e-05,0.00544984
nephro,0,Children,0.00127181,2.16955e-05,0.00523787
nephro,0,Teens,0.00108711,1.85448e-05,0.0044772
nephro,0,Pregnant,0.000731999,1.2487e-05,0.0030147
nephro,1,Adults,0.00478638,8.16498e-05,0.0197125
nephro,1,Children,0.00418429,7.1379e-05,0.0172328
nephro,1,Teens,0.00590082,0.000100661,0.0243022
nephro,1,Pregnant,0.00471182,8.0378e-05,0.0194054
nephro,2,Adults,0.0013066,2.2289e-05,0.00538117
nephro,2,Children,0.00176998,3.01938e-05,0.00728959
nephro,2,Teens,0.00159449,2.72001e-05,0.00656683
nephro,2,Pregnant,0.00174839,2.98255e-05,0.00720068
nephro,3,Adults,0.00154016,2.62732e-05,0.00634306
nephro,3,Children,0.00143812,2.45326e-05,0.00592283
nephro,3,Teens,0.00135054,2.30387e-05,0.00556215
nephro,3,Pregnant,0.00120414,2.05411e-05,0.00495918
hepato,0,Adults,0.00283328,0.000712541,0.00666554
hepato,0,Children,0.00272308,0.000684826,0.00640627
hepato,0,Teens,0.00232762,0.000585373,0.00547593
hepato,0,Pregnant,0.00156729,0.000394158,0.00368719
hepato,1,Adults,0.0102482,0.00257731,0.0241097
hepato,1,Children,0.00895903,0.00225311,0.0210769
hepato,1,Teens,0.0126343,0.0031774,0.0297233
hepato,1,Pregnant,0.0100885,0.00253717,0.0237342
hepato,2,Adults,0.00279758,0.000703563,0.00658155
hepato,2,Children,0.00378973,0.000953079,0.00891567
hepato,2,Teens,0.00341398,0.000858581,0.00803168
hepato,2,Pregnant,0.0037435,0.000941454,0.00880692
hepato,3,Adults,0.00329764,0.000829325,0.007758
hepato,3,Children,0.00307918,0.000774382,0.00724403
hepato,3,Teens,0.00289166,0.000727225,0.00680289
hepato,3,Pregnant,0.00257819,0.000648389,0.00606542
cardiovascular,0,Adults,0.00104401,0.000234932,0.00247271
cardiovascular,0,Children,0.0010034,0.000225794,0.00237653
cardiovascular,0,Teens,0.00085768,0.000193004,0.0020314
cardiovascular,0,Pregnant,0.000577515,0.000129958,0.00136783
cardiovascular,1,Adults,0.00377624,0.000849767,0.00894395
cardiovascular,1,Children,0.00330122,0.000742873,0.00781888
cardiovascular,1,Teens,0.00465548,0.00104762,0.0110264
cardiovascular,1,Pregnant,0.00371742,0.00083653,0.00880464
cardiovascular,2,Adults,0.00103085,0.000231972,0.00244155
cardiovascular,2,Children,0.00139644,0.00031424,0.00330744
cardiovascular,2,Teens,0.00125798,0.000283083,0.00297951
cardiovascular,2,Pregnant,0.0013794,0.000310407,0.0032671
cardiovascular,3,Adults,0.00121511,0.000273437,0.00287798
cardiovascular,3,Children,0.00113461,0.000255322,0.00268731
cardiovascular,3,Teens,0.00106552,0.000239774,0.00252366
cardiovascular,3,Pregnant,0.00095001,0.000213781,0.00225008
endocrine,0,Adults,0.000996376,0.000196067,0.00242842
endocrine,0,Children,0.000957621,0.000188441,0.00233396
endocrine,0,Teens,0.000818551,0.000161075,0.00199501
endocrine,0,Pregnant,0.000551168,0.000108459,0.00134333
endocrine,1,Adults,0.00360396,0.000709189,0.00878375
endocrine,1,Children,0.00315061,0.000619979,0.00767882
endocrine,1,Teens,0.00444309,0.000874314,0.0108289
endocrine,1,Pregnant,0.00354782,0.000698143,0.00864693
endocrine,2,Adults,0.000983821,0.000193597,0.00239782
endocrine,2,Children,0.00133273,0.000262255,0.00324819
endocrine,2,Teens,0.00120059,0.000236253,0.00292614
endocrine,2,Pregnant,0.00131647,0.000259057,0.00320857
endocrine,3,Adults,0.00115968,0.000228202,0.00282643
endocrine,3,Children,0.00108285,0.000213084,0.00263918
endocrine,3,Teens,0.00101691,0.000200108,0.00247846
endocrine,3,Pregnant,0.000906669,0.000178415,0.00220978
hemato,0,Adults,7.50453e-05,3.96516e-05,0.000110595
hemato,0,Children,7.21263e-05,3.81093e-05,0.000106293
hemato,0,Teens,6.16519e-05,3.25749e-05,9.08566e-05
hemato,0,Pregnant,4.1513e-05,2.19342e-05,6.11778e-05
hemato,1,Adults,0.000271444,0.000143422,0.000400028
hemato,1,Children,0.000237299,0.000125381,0.000349708
hemato,1,Teens,0.000334646,0.000176816,0.000493169
hemato,1,Pregnant,0.000267216,0.000141188,0.000393797
hemato,2,Adults,7.40997e-05,3.91519e-05,0.000109201
hemato,2,Children,0.000100379,5.3037e-05,0.000147929
hemato,2,Teens,9.04264e-05,4.77784e-05,0.000133262
hemato,2,Pregnant,9.91546e-05,5.23901e-05,0.000146124
hemato,3,Adults,8.7345e-05,4.61504e-05,0.000128721
hemato,3,Children,8.15584e-05,4.30929e-05,0.000120193
hemato,3,Teens,7.65918e-05,4.04687e-05,0.000112874
hemato,3,Pregnant,6.82888e-05,3.60816e-05,0.000100637
derm,0,Adults,0.00111813,0.000236866,0.00283325
derm,0,Children,0.00107464,0.000227653,0.00272304
derm,0,Teens,0.000918573,0.000194592,0.00232759
derm,0,Pregnant,0.000618517,0.000131028,0.00156727
derm,1,Adults,0.00404434,0.00085676,0.010248
derm,1,Children,0.0035356,0.000748986,0.00895893
derm,1,Teens,0.00498601,0.00105624,0.0126342
derm,1,Pregnant,0.00398135,0.000843415,0.0100884
derm,2,Adults,0.00110404,0.000233881,0.00279754
derm,2,Children,0.00149558,0.000316826,0.00378968
derm,2,Teens,0.0013473,0.000285413,0.00341394
derm,2,Pregnant,0.00147734,0.000312962,0.00374346
derm,3,Adults,0.00130139,0.000275687,0.00329761
derm,3,Children,0.00121517,0.000257423,0.00307914
derm,3,Teens,0.00114117,0.000241747,0.00289163
derm,3,Pregnant,0.00101746,0.00021554,0.00257816
gi,0,Adults,0.000295551,8.29421e-05,0.000552909
gi,0,Children,0.000284055,7.9716e-05,0.000531404
gi,0,Teens,0.000242803,6.81393e-05,0.000454231
gi,0,Pregnant,0.00016349,4.58813e-05,0.000305854
gi,1,Adults,0.00106903,0.000300007,0.00199991
gi,1,Children,0.000934553,0.000262269,0.00174834
gi,1,Teens,0.00131793,0.00036986,0.00246556
gi,1,Pregnant,0.00105238,0.000295334,0.00196876
gi,2,Adults,0.000291827,8.1897e-05,0.000545943
gi,2,Children,0.000395322,0.000110941,0.000739559
gi,2,Teens,0.000356126,9.99417e-05,0.000666232
gi,2,Pregnant,0.0003905,0.000109588,0.000730539
gi,3,Adults,0.000343991,9.65361e-05,0.00064353
gi,3,Children,0.000321201,9.01406e-05,0.000600896
gi,3,Teens,0.000301641,8.46513e-05,0.000564303
gi,3,Pregnant,0.000268941,7.54746e-05,0.000503129
systemic,0,Adults,0.000999301,0.000196521,0.00240925
systemic,0,Children,0.000960432,0.000188878,0.00231554
systemic,0,Teens,0.000820954,0.000161448,0.00197927
systemic,0,Pregnant,0.000552786,0.00010871,0.00133273
systemic,1,Adults,0.00361454,0.000710831,0.00871442
systemic,1,Children,0.00315986,0.000621415,0.00761822
systemic,1,Teens,0.00445613,0.000876338,0.0107434
systemic,1,Pregnant,0.00355824,0.000699759,0.00857868
systemic,2,Adults,0.000986709,0.000194045,0.00237889
systemic,2,Children,0.00133664,0.000262863,0.00322256
systemic,2,Teens,0.00120411,0.0002368,0.00290304
systemic,2,Pregnant,0.00132034,0.000259656,0.00318325
systemic,3,Adults,0.00116308,0.000228731,0.00280412
systemic,3,Children,0.00108603,0.000213577,0.00261835
systemic,3,Teens,0.00101989,0.000200571,0.0024589
systemic,3,Pregnant,0.000909331,0.000178828,0.00219234
overall,0,Adults,0.00283328,0.000712541,0.00666554
overall,0,Children,0.00272308,0.000684826,0.00640627
overall,0,Teens,0.00232762,0.000585373,0.00547593
overall,0,Pregnant,0.00156729,0.000394158,0.00368719
overall,1,Adults,0.0102482,0.00257731,0.0241097
overall,1,Children,0.00895903,0.00225311,0.0210769
overall,1,Teens,0.0126343,0.0031774,0.0297233
overall,1,Pregnant,0.0100885,0.00253717,0.0237342
overall,2,Adults,0.00279758,0.000703563,0.00658155
overall,2,Children,0.00378973,0.000953079,0.00891567
overall,2,Teens,0.00341398,0.000858581,0.00803168
overall,2,Pregnant,0.0037435,0.000941454,0.00880692
overall,3,Adults,0.00329764,0.000829325,0.007758
overall,3,Children,0.00307918,0.000774382,0.00724403
overall,3,Teens,0.00289166,0.000727225,0.00680289
overall,3,Pregnant,0.00257819,0.000648389,0.00606542
