,BW_Adults,IR_Adults,EF_Adults,ED_Adults,AT_nc_Adults,AT_ca_Adults,SA_Adults,AF_Adults,ET_Adults,BW_Children,IR_Children,EF_Children,ED_Children,AT_nc_Children,AT_ca_Children,SA_Children,AF_Children,ET_Children,BW_Teens,IR_Teens,EF_Teens,ED_Teens,AT_nc_Teens,AT_ca_Teens,SA_Teens,AF_Teens,ET_Teens,BW_Pregnant,IR_Pregnant,EF_Pregnant,ED_Pregnant,AT_nc_Pregnant,AT_ca_Pregnant,SA_Pregnant,AF_Pregnant,ET_Pregnant,C_As,C_Cd,C_Co,C_Cu,C_Fe,C_Hg,C_Mn,C_Ni,C_Pb,C_Zn,Kp_As,Kp_Cd,Kp_Co,Kp_Cu,Kp_Fe,Kp_Hg,Kp_Mn,Kp_Ni,Kp_Pb,Kp_Zn
BW_Adults,,-0.00273137032813053,-0.002166537782980097,-0.0029406938407698724,-0.0010219482588622129,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0009772786115639052,-0.00019228236269107357,-0.0024139933568189404,-0.0009103170558111759,-0.0037248729234646005,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0023822754452972306,-0.0017930980703120443,-0.0025686807022159224,-0.001878756455901391,-0.002845918957703534,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.002489746770223202,-0.0012762476643927599,-0.002562760821015249,-0.0018067648920285272,-0.0022317336453271178,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0037166281090993403,-0.002295821765499337,-0.002275470291101148,-0.002420447347298311,-0.0022966591962167177,-0.0022977546549853884,-0.0022966591962167177,-0.0022966591962167177,-0.0022935187260304233,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177,-0.0022966591962167177
IR_Adults,,,-0.010792032885096736,-0.01008768547707476,-0.0071163615118617265,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.009399615998409192,-0.009092000768816388,-0.010274486561813949,-0.011577490410839292,-0.008547540330358788,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.0106753390307982,-0.011338334571896445,-0.010872792280476516,-0.011488110374607124,-0.012011992329428858,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011355190251368837,-0.01148367504933984,-0.011528478910306186,-0.010751659187404698,-0.011001921081957314,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.0047494280683411105,-0.011414751251754828,-0.01144606419525491,-0.011476603884666023,-0.011413110798774273,-0.011416365553287353,-0.011413110798774273,-0.011413110798774273,-0.011380777836166289,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273,-0.011413110798774273
EF_Adults,,,,0.016274194284341303,0.01614829902163037,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.015739676238952022,0.013560149047090964,0.014805806528097131,0.018205191079831505,0.014088265500041983,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.01620442143712438,0.015765667860100713,0.016029655218298675,0.01683997861666841,0.016308264955215084,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.01634933252274813,0.015925179333936747,0.016017217261357578,0.015883503107956477,0.01604928509856976,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.011944706495514212,0.01609628781289756,0.016022228058078892,0.01604847181737537,0.0160966277307942,0.0160931523774807,0.0160966277307942,0.0160966277307942,0.016120302597737602,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942,0.0160966277307942
ED_Adults,,,,,0.00014041132013009432,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,0.0012575000163296034,-0.001870395355005161,-0.0010707354892754133,0.0004227725040164623,0.000889628456151273,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.00022791484459847326,0.002687209130558709,0.00025922445680386997,0.0002543622495806957,-0.0015838077298238953,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.000872145915785061,-0.0007094998977223502,-0.0006082678489424853,-0.0014674378582121492,-0.0003164153525680915,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0016167073174001012,-0.0005052987155672078,-0.0004988994897951635,-0.0004587095298599494,-0.0005038463058841779,-0.0005056161618221484,-0.0005038463058841779,-0.0005038463058841779,-0.0005321273675800642,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779,-0.0005038463058841779
AT_nc_Adults,,,,,,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.000921402676743204,-0.0015659640221474674,-0.0005032522469880108,-0.0017011364864392906,-0.0019270920626272975,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005428401773209658,-0.0011468063443765743,-0.0006847816937011454,0.0010610410130418406,0.0005789437551215592,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0007528954584955809,-0.0013045835448869895,-0.0004031612001562522,0.0006507768401521549,-0.0008897006116692727,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,0.015024936253144994,-0.0005437962022031964,-0.0006540482157620456,-0.0005346010001652647,-0.0005427855465360999,-0.0005489368613900498,-0.0005427855465360999,-0.0005427855465360999,-0.0006458982201456327,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999,-0.0005427855465360999
AT_ca_Adults,,,,,,,0.0,0.0,0.0,3.469446951953614e-18,0.0,2.168404344971009e-19,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,-2.6020852139652106e-18,1.734723475976807e-18,-4.336808689942018e-19,0.0,-1.734723475976807e-18,0.0,0.0,0.0,0.0,-8.673617379884035e-19,3.469446951953614e-18,-2.168404344971009e-18,-5.204170427930421e-18,-3.0357660829594124e-18,0.0,0.0,0.0,0.0,0.0,2.981555974335137e-19,-1.6263032587282567e-18,-2.168404344971009e-19,0.0,1.3552527156068805e-19,0.0,0.0,-9.75781955236954e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_Adults,,,,,,,,0.0,0.0,3.469446951953614e-18,0.0,2.168404344971009e-19,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,-2.6020852139652106e-18,1.734723475976807e-18,-4.336808689942018e-19,0.0,-1.734723475976807e-18,0.0,0.0,0.0,0.0,-8.673617379884035e-19,3.469446951953614e-18,-2.168404344971009e-18,-5.204170427930421e-18,-3.0357660829594124e-18,0.0,0.0,0.0,0.0,0.0,2.981555974335137e-19,-1.6263032587282567e-18,-2.168404344971009e-19,0.0,1.3552527156068805e-19,0.0,0.0,-9.75781955236954e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF_Adults,,,,,,,,,0.0,3.469446951953614e-18,0.0,2.168404344971009e-19,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,-2.6020852139652106e-18,1.734723475976807e-18,-4.336808689942018e-19,0.0,-1.734723475976807e-18,0.0,0.0,0.0,0.0,-8.673617379884035e-19,3.469446951953614e-18,-2.168404344971009e-18,-5.204170427930421e-18,-3.0357660829594124e-18,0.0,0.0,0.0,0.0,0.0,2.981555974335137e-19,-1.6263032587282567e-18,-2.168404344971009e-19,0.0,1.3552527156068805e-19,0.0,0.0,-9.75781955236954e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ET_Adults,,,,,,,,,,3.469446951953614e-18,0.0,2.168404344971009e-19,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,-2.6020852139652106e-18,1.734723475976807e-18,-4.336808689942018e-19,0.0,-1.734723475976807e-18,0.0,0.0,0.0,0.0,-8.673617379884035e-19,3.469446951953614e-18,-2.168404344971009e-18,-5.204170427930421e-18,-3.0357660829594124e-18,0.0,0.0,0.0,0.0,0.0,2.981555974335137e-19,-1.6263032587282567e-18,-2.168404344971009e-19,0.0,1.3552527156068805e-19,0.0,0.0,-9.75781955236954e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BW_Children,,,,,,,,,,,0.026450356157160987,0.0210845847592378,0.02098526399119787,0.03085264340615773,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.020959800056821108,0.02262243335371299,0.019875240136509893,0.018120085408974605,0.019926806032593353,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.017927813916228885,0.019391671741159924,0.019027829526452752,0.0201866307854379,0.020159021478215862,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.05530106560660525,0.019441272323294158,0.01960501143282895,0.019354851550426055,0.019439345418639845,0.019442087789280006,0.019439345418639845,0.019439345418639845,0.019414655996657836,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845,0.019439345418639845
IR_Children,,,,,,,,,,,,0.0028990584414651157,0.005730957440367057,0.012197078520432628,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0008464545828970843,0.00363244552245821,-0.0022751425769542244,-0.004896543870058128,-0.004014209368800193,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.000237966031726637,-0.0020446980676422817,0.0005767615088758077,-0.0031992113351141816,-0.002024455077100761,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,0.0012765004065904972,-0.0020039576023521016,-0.0017342366936210212,-0.0017302483214160001,-0.0020078188516441386,-0.0020164714677493247,-0.0020078188516441386,-0.0020078188516441386,-0.0019060499119918288,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386,-0.0020078188516441386
EF_Children,,,,,,,,,,,,,0.025151032436475165,0.019659624305217338,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02350474366977375,0.02340786604396822,0.024308683882428374,0.024401391621438256,0.022391543657562355,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.025563402832519382,0.023386684172546506,0.024986831762178727,0.023535354507876277,0.024577688618611284,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.027122913094229262,0.024361446267256958,0.024388942933380918,0.02445500053564737,0.02435942405058803,0.02435339731265969,0.02435942405058803,0.02435942405058803,0.0241958678465884,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803,0.02435942405058803
ED_Children,,,,,,,,,,,,,,0.008082673703855514,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.007763913417218899,0.007673047978276577,0.006415306842530503,0.006001468710403598,0.006991300201661169,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006795464951021926,0.00777019165221449,0.006656111466214271,0.005855820416587143,0.007625529705778272,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.016395454282809807,0.0065531876492848275,0.006673200499421232,0.006599395897202371,0.006546486545999014,0.006563271237137347,0.006546486545999014,0.006546486545999014,0.0067469547728714685,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014,0.006546486545999014
AT_nc_Children,,,,,,,,,,,,,,,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01874040557894,-0.021557716586885222,-0.019086552708310094,-0.017931293006630607,-0.019040022817941916,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.019088547165308698,-0.022293825092212453,-0.020143394580935423,-0.021150863143532664,-0.02053821615452348,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.0177115499646055,-0.01970381566124915,-0.019629600581553122,-0.01964801539163187,-0.01970165815748482,-0.019714299990656763,-0.01970165815748482,-0.01970165815748482,-0.019493147724067163,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482,-0.01970165815748482
AT_ca_Children,,,,,,,,,,,,,,,,0.0,0.0,0.0,-2.6020852139652106e-18,1.734723475976807e-18,-4.336808689942018e-19,0.0,-1.734723475976807e-18,0.0,0.0,0.0,0.0,-8.673617379884035e-19,3.469446951953614e-18,-2.168404344971009e-18,-5.204170427930421e-18,-3.0357660829594124e-18,0.0,0.0,0.0,0.0,0.0,2.981555974335137e-19,-1.6263032587282567e-18,-2.168404344971009e-19,0.0,1.3552527156068805e-19,0.0,0.0,-9.75781955236954e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
